Id,Date,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
8475726,2022-11-08,2022-11-08 CGY at N.J,CGY,11.783333333333001,19,6,76.0,17,5,77.27,11,2,84.62,0,0,,1.03,0.45,69.5,8,4,66.67,0,0,,2,2,50.0,0,0,,6,2,75.0,0,0,,10,2,83.33,0,0,,0.0,100.0,1.0,4,0,3,12,57.14,10,1,3,76.92,0,0,0,0,0,,5,0.0,0.54,7,7,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
8475726,2022-11-10,2022-11-10 CGY at BOS,CGY,10.133333333333,12,4,75.0,12,3,80.0,10,0,100.0,0,0,,0.63,0.11,84.65,4,2,66.67,0,0,,2,0,100.0,0,0,,2,2,50.0,0,0,,7,2,77.78,0,0,,0.0,,,1,2,0,11,100.0,4,3,2,66.67,0,0,0,0,0,,2,0.0,0.2,2,2,2,1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0.0
8475726,2022-11-12,2022-11-12 WPG at CGY,CGY,8.9333333333333,14,4,77.78,12,4,75.0,10,4,71.43,2,0,100.0,0.58,0.23,71.81,7,3,70.0,2,0,100.0,2,1,66.67,2,0,100.0,5,2,71.43,0,0,,7,1,87.5,0,0,,20.0,100.0,1.2,0,4,2,12,0.0,4,5,3,57.14,0,0,0,0,0,0.0,3,0.0,0.18,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0
8475726,2022-11-14,2022-11-14 L.A at CGY,CGY,12.25,16,9,64.0,11,9,55.0,9,4,69.23,2,1,66.67,1.28,0.72,63.86,13,4,76.47,2,1,66.67,9,2,81.82,1,0,100.0,4,2,66.67,1,1,50.0,1,5,16.67,0,0,,22.22,75.0,0.972,2,3,2,12,50.0,5,4,3,62.5,1,1,0,1,2,100.0,3,33.33,0.28,4,4,3,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0
8475726,2022-11-17,2022-11-17 CGY at T.B,CGY,12.633333333333,15,8,65.22,11,6,64.71,8,4,66.67,0,0,,0.54,0.62,46.81,10,7,58.82,0,0,,1,3,25.0,0,0,,9,4,69.23,0,0,,4,1,80.0,0,0,,0.0,100.0,1.0,3,2,3,9,50.0,5,6,6,45.45,0,0,0,0,0,,3,0.0,0.1,3,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
8475726,2022-11-19,2022-11-19 CGY at FLA,CGY,14.966666666666999,17,15,53.13,14,10,58.33,12,7,63.16,2,2,50.0,0.66,0.44,59.82,4,5,44.44,1,2,33.33,2,2,50.0,0,2,0.0,2,3,40.0,1,0,100.0,9,9,50.0,1,0,100.0,16.67,71.43,0.8809999999999999,4,5,1,9,80.0,7,7,4,63.64,0,0,0,0,0,0.0,2,0.0,0.25,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8475726,2022-11-21,2022-11-21 CGY at PHI,CGY,10.65,12,13,48.0,6,8,42.86,3,7,30.0,0,0,,0.46,0.4,53.56,4,4,50.0,0,0,,1,2,33.33,0,0,,3,2,60.0,0,0,,5,6,45.45,0,0,,0.0,100.0,1.0,1,2,1,9,50.0,3,2,6,33.33,0,0,0,0,0,,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.0
8475726,2022-11-23,2022-11-23 CGY at PIT,CGY,13.466666666666999,16,16,50.0,14,12,53.85,10,9,52.63,0,0,,0.72,0.98,42.38,10,10,50.0,0,0,,2,3,40.0,0,0,,8,7,53.33,0,0,,5,6,45.45,0,0,,0.0,100.0,1.0,5,2,5,7,50.0,7,3,7,50.0,0,0,0,0,0,,2,0.0,0.19,3,3,2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0.0
8475726,2022-11-25,2022-11-25 CGY at WSH,CGY,14.716666666666999,16,15,51.61,12,6,66.67,8,2,80.0,0,1,0.0,0.84,0.4,67.6,9,7,56.25,0,1,0.0,5,2,71.43,0,1,0.0,4,5,44.44,0,0,,5,7,41.67,0,0,,0.0,50.0,0.5,0,3,4,12,0.0,4,5,7,36.36,0,0,0,0,0,,2,0.0,0.15,3,3,1,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0.0
8475726,2022-11-26,2022-11-26 CGY at CAR,CGY,14.583333333333002,16,9,64.0,13,9,59.09,6,5,54.55,1,0,100.0,0.83,0.39,68.08,8,3,72.73,1,0,100.0,2,1,66.67,1,0,100.0,6,2,75.0,0,0,,6,6,50.0,0,0,,16.67,100.0,1.167,0,5,3,11,0.0,2,7,6,25.0,1,0,0,0,1,100.0,2,50.0,0.2,5,4,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0
8475726,2022-11-29,2022-11-29 FLA at CGY,CGY,8.35,5,12,29.41,5,9,35.71,4,6,40.0,1,0,100.0,0.42,0.59,41.59,4,5,44.44,1,0,100.0,2,2,50.0,1,0,100.0,2,3,40.0,0,0,,1,6,14.29,0,0,,25.0,100.0,1.25,0,2,1,10,0.0,0,2,4,0.0,1,0,0,0,1,100.0,2,50.0,0.29,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
