id,position,firstName,lastName
8478493,C,Joel,Eriksson Ek
8475220,L,Marcus,Foligno
8477919,C,Frederick,Gaudreau
8477451,R,Ryan,Hartman
8475149,C,Marcus,Johansson
8478864,L,Kirill,Kaprizov
8479968,C,Vinni,Lettieri
8474034,L,Pat,Maroon
8477464,C,Nic,Petan
8482079,C,Marco,Rossi
8475692,R,Mats,Zuccarello
8476981,R,Josh,Anderson
8476469,R,Joel,Armia
8481540,R,Cole,Caufield
8481523,C,Kirby,Dach
8477989,C,Christian,Dvorak
8478133,C,Jake,Evans
8475848,R,Brendan,Gallagher
8481093,L,Rafael,Harvey-Pinard
8477497,C,Sean,Monahan
8481618,C,Alex,Newhook
8476871,L,Tanner,Pearson
8479543,L,Michael,Pezzetta
8483515,L,Juraj,Slafkovsky
8480018,C,Nick,Suzuki
8481058,R,Jesse,Ylönen
8479414,R,Nathan,Bastian
8479407,L,Jesper,Bratt
8475287,L,Erik,Haula
8480002,C,Nico,Hischier
8482125,R,Alexander,Holtz
8481559,C,Jack,Hughes
8477508,C,Curtis,Lazar
8479415,C,Michael,McLeod
8478414,R,Timo,Meier
8482110,C,Dawson,Mercer
8477931,L,Tomas,Nosek
8476292,L,Ondrej,Palat
8476919,C,Chris,Tierney
8475726,C,Tyler,Toffoli
8478051,C,Max,Willman
8482146,R,Luke,Evangelista
8476887,L,Filip,Forsberg
8480853,C,Liam,Foudy
8479996,C,Cody,Glass
8477446,R,Michael,McCarron
8478438,C,Tommy,Novak
8474679,C,Gustav,Nyquist
8475158,C,Ryan,O'Reilly
8481704,C,Juuso,Parssinen
8480748,L,Kiefer,Sherwood
8476925,C,Colton,Sissons
8482062,L,Cole,Smith
8481577,C,Philip,Tomasino
8478508,C,Yakov,Trenin
8478445,C,Mathew,Barzal
8475231,C,Casey,Cizikas
8473504,R,Cal,Clutterbuck
8478115,L,Pierre,Engvall
8477392,R,Hudson,Fasching
8479328,R,Julien,Gauthier
8481601,R,Simon,Holmstrom
8477500,C,Bo,Horvat
8475314,L,Anders,Lee
8474709,L,Matt,Martin
8475754,C,Brock,Nelson
8476419,C,Jean-Gabriel,Pageau
8475151,C,Kyle,Palmieri
8480789,R,Oliver,Wahlstrom
8474009,C,Nick,Bonino
8480078,C,Filip,Chytil
8482157,L,Will,Cuylle
8476624,C,Barclay,Goodrow
8481554,R,Kaapo,Kakko
