,id,position,firstName,lastName,Expected Shots
390,8481582,L,Nicholas,Robertson,1.9139509569357234
318,8476483,R,Rickard,Rakell,1.9119965511250447
134,8478975,L,Mason,Marchment,1.877832206515592
218,8477497,C,Sean,Monahan,1.874285046567407
3,8474641,C,Adam,Henrique,1.873766734316335
31,8475745,C,Charlie,Coyle,1.859288705802241
378,8475766,L,Austin,Watson,1.853384289144324
360,8475170,C,Brayden,Schenn,1.8458001844305139
143,8479337,R,Alex,DeBrincat,1.8383541872617324
144,8477952,C,Robby,Fabbri,1.835107283469106
71,8476882,L,Teuvo,Teravainen,1.8286648609389815
245,8478438,C,Tommy,Novak,1.8126706423835266
136,8480027,L,Jason,Robertson,1.8125851176885932
340,8477407,L,Anthony,Duclair,1.8121541810794817
385,8478483,R,Mitchell,Marner,1.810409201792788
216,8475848,R,Brendan,Gallagher,1.8062577460629476
420,8480289,C,Morgan,Barron,1.7874134873101737
78,8476374,C,Sean,Kuraly,1.7775127087586853
338,8482222,L,Alexander,Barabanov,1.7654655215922583
107,8474870,C,Tyler,Johnson,1.7387670602579908
377,8474564,C,Steven,Stamkos,1.7348598079446695
80,8480893,R,Kirill,Marchenko,1.7346402358851305
209,8475692,R,Mats,Zuccarello,1.7344036746333094
359,8476438,L,Brandon,Saad,1.7259228531826565
161,8475169,L,Evander,Kane,1.7180713904647948
232,8479415,C,Michael,McLeod,1.6863420998299812
407,8477964,C,Ivan,Barbashev,1.6856459281188922
175,8480185,C,Eetu,Luostarinen,1.678758212987719
149,8479992,C,Michael,Rasmussen,1.6785232475585878
190,8471685,C,Anze,Kopitar,1.6760373539382076
384,8482720,L,Matthew,Knies,1.6659446198138441
324,8477416,R,Oliver,Bjorkstrand,1.643648363707596
154,8477934,C,Leon,Draisaitl,1.6250732515475084
113,8482117,L,Lukas,Reichel,1.6210239482429287
364,8477944,L,Jakub,Vrana,1.6157209345439991
194,8481481,C,Blake,Lizotte,1.6102363650735774
176,8477933,C,Sam,Reinhart,1.609465397428229
446,8478440,C,Dylan,Strome,1.6089737354567717
442,8471214,L,Alex,Ovechkin,1.60805251315578
424,8480113,L,Alex,Iafallo,1.6013641033876322
47,8476878,L,Zemgus,Girgensons,1.5963009156240735
351,8480188,L,Fabian,Zetterlund,1.5862821304648798
350,8480821,R,Filip,Zadina,1.5716803405401192
247,8475158,C,Ryan,O'Reilly,1.5680042662233917
395,8476858,L,Phillip,Di Giuseppe,1.5664410189943736
84,8480074,C,Alexandre,Texier,1.5623112851991994
231,8477508,C,Curtis,Lazar,1.557466114345609
137,8475794,C,Tyler,Seguin,1.5505942005557483
414,8478434,R,Keegan,Kolesar,1.5406128087250721
121,8481186,R,Logan,O'Connor,1.5364984749344934
126,8477425,L,Miles,Wood,1.5360553336218106
103,8477987,C,Ryan,Donato,1.5356894901801408
305,8478439,R,Travis,Konecny,1.5351848391375793
164,8480802,C,Ryan,McLeod,1.5258569566564757
295,8480801,L,Brady,Tkachuk,1.5170967492619747
205,8479968,C,Vinni,Lettieri,1.5151096252770229
100,8476960,C,Andreas,Athanasiou,1.5129065748213328
429,8482149,C,Cole,Perfetti,1.5064335452339455
314,8476994,C,Vinnie,Hinostroza,1.4905862523144513
301,8480797,L,Joel,Farabee,1.479352373319496
374,8477426,L,Nicholas,Paul,1.4657983119103706
79,8479339,L,Patrik,Laine,1.4627423961142434
393,8476927,C,Teddy,Blueger,1.4618007806690188
405,8480459,C,Pius,Suter,1.4590549655375422
67,8480039,C,Martin,Necas,1.4576645834841824
246,8474679,C,Gustav,Nyquist,1.455566762834221
375,8478010,C,Brayden,Point,1.4535997052209118
40,8483505,C,Matthew,Poitras,1.4478170665081593
95,8481592,L,Jakob,Pelletier,1.444128055849437
201,8477919,C,Frederick,Gaudreau,1.4391047690771457
77,8476432,C,Boone,Jenner,1.436426723476538
1,8475842,C,Sam,Carrick,1.4339132484500225
128,8474149,R,Evgenii,Dadonov,1.4334249937570516
85,8481716,L,Dmitri,Voronkov,1.431150891514024
277,8476389,C,Vincent,Trocheck,1.4311468129656764
306,8476872,C,Scott,Laughton,1.4292633245772823
139,8479351,C,Sam,Steel,1.4266898255303058
104,8480025,R,MacKenzie,Entwistle,1.4254306860183028
380,8477503,C,Max,Domi,1.4205484566259834
403,8480012,C,Elias,Pettersson,1.4153069211860332
211,8476469,R,Joel,Armia,1.4061539134235046
152,8480813,C,Joe,Veleno,1.403237628679193
255,8475231,C,Casey,Cizikas,1.3996122055400713
90,8478421,L,A.J.,Greer,1.3985074564841373
16,8476329,C,Travis,Boyd,1.3958810286383467
362,8480023,C,Robert,Thomas,1.394906090729582
290,8477330,L,Dominik,Kubalik,1.3928191013924687
228,8480002,C,Nico,Hischier,1.3844353479738887
120,8477501,R,Valeri,Nichushkin,1.3822513113351065
73,8482475,R,Yegor,Chinakhov,1.3772278341358204
257,8478115,L,Pierre,Engvall,1.3717884787484096
11,8476458,C,Ryan,Strome,1.371760647046141
278,8476918,L,Jimmy,Vesey,1.371759490419774
382,8475714,C,Calle,Jarnkrok,1.3590703488595608
392,8478463,L,Anthony,Beauvillier,1.3531955116675045
214,8477989,C,Christian,Dvorak,1.3456472209236576
402,8476468,C,J.T.,Miller,1.3450476944674905
398,8478057,C,Dakota,Joshua,1.3276333132585414
15,8475760,C,Nick,Bjugstad,1.3246816080360155
133,8482740,C,Wyatt,Johnston,1.3225275354968808
72,8480205,R,Emil,Bemstrom,1.3181150615126087
226,8479407,L,Jesper,Bratt,1.316011076388487
165,8476454,C,Ryan,Nugent-Hopkins,1.3148801718541114
187,8479336,R,Carl,Grundstrom,1.3137107612122303
191,8482155,R,Alex,Laferriere,1.313406754351196
33,8479365,C,Trent,Frederic,1.3104745758851981
199,8478493,C,Joel,Eriksson Ek,1.3096488607700287
60,8478047,L,Michael,Bunting,1.291257257796419
173,8478904,C,Steven,Lorentz,1.2903499837194332
81,8479671,R,Mathieu,Olivier,1.2758527646085058
23,8481711,L,Matias,Maccelli,1.2750383241805552
27,8477951,C,Nick,Schmaltz,1.2621830885574117
298,8480220,L,Noah,Cates,1.2613176227652925
124,8475193,L,Tomas,Tatar,1.2586941722267777
62,8475855,R,Jesper,Fast,1.254713791274428
230,8481559,C,Jack,Hughes,1.251229471910016
268,8474009,C,Nick,Bonino,1.2471565542781524
303,8480028,C,Morgan,Frost,1.240739756035526
51,8479999,C,Casey,Mittelstadt,1.2405470409332822
355,8475763,R,Kevin,Hayes,1.2355687185804245
320,8475191,R,Reilly,Smith,1.2251301896201798
353,8478104,L,Sammy,Blais,1.220689999502232
132,8478449,C,Roope,Hintz,1.2199242245116542
69,8473533,C,Jordan,Staal,1.213525433235298
433,8473563,C,Nicklas,Backstrom,1.2131054661357428
441,8471698,R,T.J.,Oshie,1.2130335157440386
68,8476474,R,Stefan,Noesen,1.2120883385043255
369,8479542,L,Brandon,Hagel,1.2112244207023712
435,8475744,C,Evgeny,Kuznetsov,1.2081198406289797
294,8475765,R,Vladimir,Tarasenko,1.2034096841602484
366,8478519,C,Anthony,Cirelli,1.1969755154338728
258,8477392,R,Hudson,Fasching,1.1897656612478027
10,8475164,R,Jakob,Silfverberg,1.1878495761457926
269,8480078,C,Filip,Chytil,1.1858252938134621
174,8482113,C,Anton,Lundell,1.1842378083058074
404,8480021,C,Jack,Studnicka,1.18267035047491
188,8481560,R,Arthur,Kaliyev,1.1783737438717696
21,8479343,R,Clayton,Keller,1.170817795638547
332,8479293,L,Brandon,Tanev,1.1673011119715415
147,8477946,C,Dylan,Larkin,1.1536592142355033
335,8482751,C,Ryan,Winterton,1.147792969010116
266,8475151,C,Kyle,Palmieri,1.142757722510306
330,8475768,C,Jaden,Schwartz,1.1385609195378918
323,8482665,C,Matty,Beniers,1.1218038907470642
61,8480835,C,Jack,Drury,1.1175681102455366
299,8476461,C,Sean,Couturier,1.096644402970666
20,8480849,C,Barrett,Hayton,1.0714670596764975
7,8481517,R,Brett,Leason,1.0686430935933455
434,8475343,C,Nic,Dowd,1.067530403240853
264,8475754,C,Brock,Nelson,1.065370494196544
239,8478051,C,Max,Willman,1.0404015377202305
117,8475793,C,Ryan,Johansen,1.0342517397634945
397,8481535,L,Nils,Hoglander,1.02846608668956
445,8481656,C,Aliaksei,Protas,1.0147773112729883
36,8480880,C,Jakub,Lauko,0.9717438372819611
288,8480355,C,Mark,Kastelic,0.9597977568527268
352,8481543,C,Nikita,Alexandrov,0.9569287908108327
43,8474037,L,James,van Riemsdyk,0.9486711165710316
35,8478046,C,Danton,Heinen,0.9379572288844784
14,8481533,C,Trevor,Zegras,0.9343161431860798
13,8478366,R,Frank,Vatrano,0.9316638518213591
178,8478831,C,Kevin,Stenlund,0.9233733881665156
