,id,position,firstName,lastName,Expected Shots
144,8477952,C,Robby,Fabbri,1.7222757120332073
359,8476438,L,Brandon,Saad,1.7103889128728138
80,8480893,R,Kirill,Marchenko,1.7031622787678533
338,8482222,L,Alexander,Barabanov,1.7029202206388698
161,8475169,L,Evander,Kane,1.6906007122149438
216,8475848,R,Brendan,Gallagher,1.6878437271322262
232,8479415,C,Michael,McLeod,1.66587405452529
377,8474564,C,Steven,Stamkos,1.6570160657130828
340,8477407,L,Anthony,Duclair,1.6548034212104812
190,8471685,C,Anze,Kopitar,1.6510380049533884
175,8480185,C,Eetu,Luostarinen,1.6504180220812785
107,8474870,C,Tyler,Johnson,1.6426188623446423
78,8476374,C,Sean,Kuraly,1.6400059414878665
424,8480113,L,Alex,Iafallo,1.6103245736547185
209,8475692,R,Mats,Zuccarello,1.5909643122349681
149,8479992,C,Michael,Rasmussen,1.5905507413638589
154,8477934,C,Leon,Draisaitl,1.5820075050206743
407,8477964,C,Ivan,Barbashev,1.575768380150726
113,8482117,L,Lukas,Reichel,1.5740325514163995
176,8477933,C,Sam,Reinhart,1.5696139287623865
446,8478440,C,Dylan,Strome,1.5574187399130126
384,8482720,L,Matthew,Knies,1.5486467527244283
351,8480188,L,Fabian,Zetterlund,1.53048788539808
364,8477944,L,Jakub,Vrana,1.5292004902974938
442,8471214,L,Alex,Ovechkin,1.5230962791689546
305,8478439,R,Travis,Konecny,1.519759635398513
164,8480802,C,Ryan,McLeod,1.5176543997690117
84,8480074,C,Alexandre,Texier,1.5161062936012646
395,8476858,L,Phillip,Di Giuseppe,1.50970845328982
47,8476878,L,Zemgus,Girgensons,1.507767496808344
231,8477508,C,Curtis,Lazar,1.5062414590499966
194,8481481,C,Blake,Lizotte,1.5009784198752498
103,8477987,C,Ryan,Donato,1.4991262269572172
100,8476960,C,Andreas,Athanasiou,1.4859186617852915
414,8478434,R,Keegan,Kolesar,1.4701130199226382
362,8480023,C,Robert,Thomas,1.468762028674524
126,8477425,L,Miles,Wood,1.4685608505160488
295,8480801,L,Brady,Tkachuk,1.4513521099213083
121,8481186,R,Logan,O'Connor,1.4499857967756673
85,8481716,L,Dmitri,Voronkov,1.4458111356085397
95,8481592,L,Jakob,Pelletier,1.430215664291109
350,8480821,R,Filip,Zadina,1.429954944743839
324,8477416,R,Oliver,Bjorkstrand,1.4283326942274188
375,8478010,C,Brayden,Point,1.4259798421147927
79,8479339,L,Patrik,Laine,1.4252234784747169
77,8476432,C,Boone,Jenner,1.4243458056471667
205,8479968,C,Vinni,Lettieri,1.4197355300224672
314,8476994,C,Vinnie,Hinostroza,1.400422709486385
429,8482149,C,Cole,Perfetti,1.3995715180692005
139,8479351,C,Sam,Steel,1.3987663528778373
152,8480813,C,Joe,Veleno,1.3984097770731798
247,8475158,C,Ryan,O'Reilly,1.3963799934244907
301,8480797,L,Joel,Farabee,1.393309234660595
380,8477503,C,Max,Domi,1.390730943124294
246,8474679,C,Gustav,Nyquist,1.3846539267854654
226,8479407,L,Jesper,Bratt,1.383220619797985
393,8476927,C,Teddy,Blueger,1.3763718566253254
67,8480039,C,Martin,Necas,1.375460988037209
104,8480025,R,MacKenzie,Entwistle,1.3748559914745695
306,8476872,C,Scott,Laughton,1.361886299339777
374,8477426,L,Nicholas,Paul,1.3607302042258087
40,8483505,C,Matthew,Poitras,1.3579840380644808
137,8475794,C,Tyler,Seguin,1.352296400202324
