Id,Date,Game,Team,TOI,CF,FF,SF,GF,xGF,SCF,SCGF,HDCF,HDCA,HDCF%,HDGF,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,Off. Zone Starts,Goals,Total Assists,Total Points,Shots,S%,ixG,iCF,iFF,iSCF,iHDCF
8474641,2023-11-01,2023-11-01 ARI at ANA,ANA,9.6666666666667,6,5,5,0,0.1,0,0,0,0,,0,0,2,0.0,0,0,,7,8,46.67,0,0,,0.0,2,0,0,0,1,0.0,0.02,1,1,0,0
8474641,2023-11-05,2023-11-05 VGK at ANA,ANA,13.366666666667,12,8,4,0,0.46,4,0,2,4,33.33,0,2,1,66.67,0,0,,10,6,62.5,0,0,,0.0,1,0,0,0,2,0.0,0.2,4,4,2,1
8474641,2023-11-07,2023-11-07 PIT at ANA,ANA,11.633333333333,12,9,7,0,0.82,5,0,2,5,28.57,0,3,1,75.0,0,0,,9,10,47.37,0,0,,0.0,2,0,0,0,2,0.0,0.38,5,3,1,1
8474641,2023-11-10,2023-11-10 PHI at ANA,ANA,8.8,9,5,3,0,0.37,5,0,2,4,33.33,0,3,1,75.0,0,0,,3,4,42.86,0,0,,0.0,1,0,0,0,1,0.0,0.14,1,1,1,1
8479368,2023-10-14,2023-10-14 ANA at VGK,ANA,9.5666666666667,11,7,5,0,0.42,3,0,0,4,0.0,0,3,3,50.0,0,0,,7,5,58.33,0,0,,0.0,3,0,0,0,2,0.0,0.25,3,3,2,0
8479368,2023-10-15,2023-10-15 CAR at ANA,ANA,11.45,6,4,2,0,0.08,2,0,0,1,0.0,0,2,6,25.0,0,1,0.0,3,11,21.43,0,0,,0.0,2,0,0,0,1,0.0,0.0,1,1,0,0
8479368,2023-10-19,2023-10-19 DAL at ANA,ANA,6.75,7,4,3,0,0.08,1,0,0,0,,0,1,1,50.0,0,0,,6,6,50.0,0,0,,0.0,3,0,0,0,0,0.0,0.0,0,0,0,0
8479368,2023-10-22,2023-10-22 BOS at ANA,ANA,9.75,11,11,8,0,0.57,2,0,1,1,50.0,0,1,0,100.0,0,0,,11,4,73.33,0,0,,0.0,1,0,0,0,1,0.0,0.02,1,1,0,0
8479368,2023-10-24,2023-10-24 ANA at CBJ,ANA,11.483333333333,11,8,6,0,0.33,6,0,2,2,50.0,0,4,3,57.14,0,0,,7,4,63.64,0,0,,0.0,2,0,0,0,2,0.0,0.12,3,3,1,1
8479368,2023-10-26,2023-10-26 ANA at BOS,ANA,6.8666666666667,8,5,5,0,0.24,3,0,1,0,100.0,0,2,0,100.0,0,0,,4,3,57.14,0,0,,0.0,1,0,0,0,1,0.0,0.11,1,1,1,1
8479368,2023-10-28,2023-10-28 ANA at PHI,ANA,11.566666666666999,10,8,5,1,0.56,6,1,2,2,50.0,1,4,3,57.14,0,1,0.0,3,5,37.5,0,0,,20.0,0,0,1,1,0,0.0,0.04,3,2,1,0
8479368,2023-10-30,2023-10-30 ANA at PIT,ANA,9.55,8,6,4,1,0.33,5,1,1,3,25.0,1,4,3,57.14,0,0,,4,7,36.36,0,0,,25.0,1,0,1,1,0,0.0,0.05,2,1,2,0
8479368,2023-11-01,2023-11-01 ARI at ANA,ANA,12.333333333333002,5,5,4,1,0.34,4,1,2,2,50.0,0,2,7,22.22,1,0,100.0,2,16,11.11,0,0,,25.0,0,0,0,0,0,0.0,0.03,1,1,1,0
8479368,2023-11-10,2023-11-10 PHI at ANA,ANA,9.2666666666667,9,5,3,0,0.37,5,0,2,4,33.33,0,3,1,75.0,0,0,,3,4,42.86,0,0,,0.0,1,0,0,0,1,0.0,0.18,3,2,2,1
8473986,2023-11-05,2023-11-05 VGK at ANA,ANA,15.0,14,7,3,0,0.36,5,0,3,9,25.0,0,2,1,66.67,0,0,,11,7,61.11,0,0,,0.0,2,0,0,0,1,0.0,0.13,4,1,2,2
8473986,2023-11-07,2023-11-07 PIT at ANA,ANA,11.633333333333,9,7,5,0,0.33,3,0,1,5,16.67,0,2,1,66.67,0,0,,8,11,42.11,0,0,,0.0,1,0,0,0,0,0.0,0.0,0,0,0,0
8473986,2023-11-10,2023-11-10 PHI at ANA,ANA,14.166666666666998,17,12,8,1,0.62,10,1,4,0,100.0,1,6,3,66.67,0,0,,9,3,75.0,0,0,,12.5,4,0,1,1,1,0.0,0.15,3,2,2,1
8481517,2023-10-14,2023-10-14 ANA at VGK,ANA,8.5,6,6,5,0,0.56,3,0,2,3,40.0,0,1,7,12.5,0,0,,4,2,66.67,0,0,,0.0,2,0,0,0,2,0.0,0.1,2,2,1,1
8481517,2023-10-15,2023-10-15 CAR at ANA,ANA,8.2166666666667,10,10,9,1,1.04,7,1,4,3,57.14,0,3,5,37.5,1,0,100.0,4,5,44.44,0,0,,11.11,1,0,1,1,4,0.0,0.4,4,4,2,1
